"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2023","18.5975","18.8473","18.8727","18.5867","102.54K","-1.33%"
"01/31/2023","18.8480","18.7741","18.8595","18.7296","92.07K","0.47%"
"01/30/2023","18.7606","18.7770","18.8128","18.7510","92.79K","0.00%"
"01/27/2023","18.7600","18.7976","18.8319","18.7155","87.40K","-0.16%"
"01/26/2023","18.7900","18.7895","18.8985","18.7826","99.13K","0.08%"
"01/25/2023","18.7750","18.7950","18.8575","18.7666","92.68K","-0.03%"
"01/24/2023","18.7800","18.8090","18.8915","18.7839","93.04K","-0.11%"
"01/23/2023","18.8010","18.9017","18.9017","18.7895","90.07K","-0.29%"
"01/20/2023","18.8550","18.9930","19.0229","18.8450","94.47K","-0.63%"
"01/19/2023","18.9750","18.8895","19.1135","18.8662","108.22K","0.53%"
"01/18/2023","18.8750","18.6650","18.9063","18.5655","109.63K","1.21%"
"01/17/2023","18.6500","18.7770","18.8375","18.6467","93.58K","-0.65%"
"01/16/2023","18.7716","18.7630","18.8631","18.7308","68.03K","0.10%"
"01/13/2023","18.7530","18.8315","18.9150","18.7305","91.24K","-0.39%"
"01/12/2023","18.8265","18.9275","18.9827","18.8150","101.99K","-0.44%"
"01/11/2023","18.9100","19.0650","19.1150","18.9100","86.65K","-0.72%"
"01/10/2023","19.0480","19.1475","19.1778","19.0495","95.57K","-0.43%"
"01/09/2023","19.1300","19.1455","19.1965","19.1005","92.20K","0.03%"
"01/06/2023","19.1240","19.3270","19.3501","19.1180","100.37K","-0.96%"
"01/05/2023","19.3100","19.3825","19.4340","19.2955","97.60K","-0.28%"
"01/04/2023","19.3650","19.4067","19.4270","19.2564","100.59K","-0.18%"
"01/03/2023","19.4000","19.4660","19.5369","19.3739","101.94K","-0.31%"
"01/02/2023","19.4610","19.4865","19.5235","19.4585","15.18K","-0.07%"
"12/30/2022","19.4740","19.4595","19.5901","19.4050","91.84K","0.15%"
"12/29/2022","19.4450","19.4350","19.4795","19.3013","76.17K","0.13%"
"12/28/2022","19.4200","19.4885","19.4984","19.3795","82.81K","-0.29%"
"12/27/2022","19.4770","19.4015","19.5025","19.3386","75.97K","0.47%"
"12/26/2022","19.3850","19.3915","19.4252","19.3332","8.62K","0.22%"
"12/23/2022","19.3430","19.5675","19.5910","19.3456","85.80K","-0.99%"
"12/22/2022","19.5370","19.6520","19.6823","19.5390","89.76K","-0.54%"
"12/21/2022","19.6430","19.7605","19.8037","19.6310","91.29K","-0.51%"
"12/20/2022","19.7430","19.7970","19.9025","19.6772","103.97K","-0.25%"
"12/19/2022","19.7920","19.7830","19.8415","19.7089","90.96K","0.11%"
"12/16/2022","19.7700","19.7590","19.8855","19.7396","102.78K","0.11%"
"12/15/2022","19.7480","19.6190","19.8590","19.6115","107.01K","0.73%"
"12/14/2022","19.6040","19.5280","19.7650","19.5152","114.15K","0.48%"
"12/13/2022","19.5100","19.8565","19.8848","19.5160","106.46K","-1.68%"
"12/12/2022","19.8440","19.7630","19.9191","19.7307","82.85K","0.41%"
"12/09/2022","19.7630","19.6248","19.8425","19.6131","103.00K","0.77%"
"12/08/2022","19.6126","19.6670","19.7450","19.6070","99.46K","-0.23%"
"12/07/2022","19.6570","19.7580","19.8339","19.6260","105.02K","-0.45%"
"12/06/2022","19.7460","19.7370","19.8650","19.6276","105.31K","0.10%"
"12/05/2022","19.7260","19.4040","19.8660","19.3478","104.95K","1.82%"
"12/02/2022","19.3740","19.1310","19.4465","19.1075","111.63K","1.31%"
"12/01/2022","19.1230","19.2680","19.3485","19.1150","114.31K","-0.66%"
"11/30/2022","19.2510","19.2330","19.4635","19.1938","107.72K","0.18%"
"11/29/2022","19.2160","19.3080","19.3249","19.0403","103.01K","-0.41%"
"11/28/2022","19.2950","19.3193","19.3700","19.2915","90.67K","-0.18%"
"11/25/2022","19.3300","19.3835","19.4245","19.3045","75.80K","-0.19%"
"11/24/2022","19.3670","19.3665","19.4000","19.3391","67.75K","0.07%"
"11/23/2022","19.3540","19.4350","19.4546","19.3290","79.61K","-0.33%"
"11/22/2022","19.4190","19.5460","19.5735","19.4132","88.53K","-0.61%"
"11/21/2022","19.5380","19.4545","19.5935","19.4133","91.93K","0.53%"
"11/18/2022","19.4350","19.4235","19.5385","19.3818","98.10K","0.14%"
"11/17/2022","19.4070","19.3485","19.4775","19.3104","104.80K","0.36%"
"11/16/2022","19.3380","19.3635","19.4053","19.2820","109.95K","-0.08%"
"11/15/2022","19.3540","19.3540","19.4745","19.2435","127.30K","0.08%"
"11/14/2022","19.3390","19.5350","19.5748","19.3169","114.10K","-0.80%"
"11/11/2022","19.4950","19.3169","19.5950","19.2638","121.11K","0.96%"
"11/10/2022","19.3100","19.5785","19.6021","19.3117","122.92K","-1.31%"
"11/09/2022","19.5670","19.5265","19.6365","19.5077","116.48K","0.28%"
"11/08/2022","19.5130","19.4545","19.5750","19.4324","105.96K","0.37%"
"11/07/2022","19.4410","19.5310","19.5783","19.4295","111.48K","-0.31%"
"11/04/2022","19.5010","19.6475","19.6773","19.4585","118.54K","-0.68%"
"11/03/2022","19.6350","19.6750","19.7813","19.6290","113.69K","-0.08%"
"11/02/2022","19.6500","19.7490","19.7695","19.5045","108.67K","-0.46%"
